sample_id,attribute,object,question,visual_answer,prior_answer,cf_image,std_image,source
color_0016,color,Labrador retriever,What color is the Labrador retriever?,pink,yellow,arbitration_dataset/images/color/color_0016_cf.png,arbitration_dataset/images/color/color_0016_std.png,visual_counterfact
color_0017,color,Loafer,What color is the Loafer?,yellow,brown,arbitration_dataset/images/color/color_0017_cf.png,arbitration_dataset/images/color/color_0017_std.png,visual_counterfact
color_0018,color,Maltese dog,What color is the Maltese dog?,orange,white,arbitration_dataset/images/color/color_0018_cf.png,arbitration_dataset/images/color/color_0018_std.png,visual_counterfact
color_0019,color,Model T,What color is the Model T?,red,black,arbitration_dataset/images/color/color_0019_cf.png,arbitration_dataset/images/color/color_0019_std.png,visual_counterfact
color_0020,color,Newfoundland,What color is the Newfoundland?,pink,black,arbitration_dataset/images/color/color_0020_cf.png,arbitration_dataset/images/color/color_0020_std.png,visual_counterfact
color_0021,color,Norwegian elkhound,What color is the Norwegian elkhound?,red,grey,arbitration_dataset/images/color/color_0021_cf.png,arbitration_dataset/images/color/color_0021_std.png,visual_counterfact
color_0022,color,Old English sheepdog,What color is the Old English sheepdog?,yellow,grey,arbitration_dataset/images/color/color_0022_cf.png,arbitration_dataset/images/color/color_0022_std.png,visual_counterfact
color_0023,color,Pomeranian,What color is the Pomeranian?,blue,orange,arbitration_dataset/images/color/color_0023_cf.png,arbitration_dataset/images/color/color_0023_std.png,visual_counterfact
color_0024,color,Rottweiler,What color is the Rottweiler?,pink,black,arbitration_dataset/images/color/color_0024_cf.png,arbitration_dataset/images/color/color_0024_std.png,visual_counterfact
color_0025,color,Samoyed,What color is the Samoyed?,green,white,arbitration_dataset/images/color/color_0025_cf.png,arbitration_dataset/images/color/color_0025_std.png,visual_counterfact
color_0026,color,Scottish deerhound,What color is the Scottish deerhound?,red,black,arbitration_dataset/images/color/color_0026_cf.png,arbitration_dataset/images/color/color_0026_std.png,visual_counterfact
color_0027,color,Sealyham terrier,What color is the Sealyham terrier?,purple,white,arbitration_dataset/images/color/color_0027_cf.png,arbitration_dataset/images/color/color_0027_std.png,visual_counterfact
color_0028,color,Weimaraner,What color is the Weimaraner?,green,grey,arbitration_dataset/images/color/color_0028_cf.png,arbitration_dataset/images/color/color_0028_std.png,visual_counterfact
color_0029,color,West Highland white terrier,What color is the West Highland white terrier?,orange,white,arbitration_dataset/images/color/color_0029_cf.png,arbitration_dataset/images/color/color_0029_std.png,visual_counterfact
color_0030,color,acorn,What color is the acorn?,pink,brown,arbitration_dataset/images/color/color_0030_cf.png,arbitration_dataset/images/color/color_0030_std.png,visual_counterfact
color_0031,color,acorn squash,What color is the acorn squash?,blue,green,arbitration_dataset/images/color/color_0031_cf.png,arbitration_dataset/images/color/color_0031_std.png,visual_counterfact
color_0032,color,acoustic guitar,What color is the acoustic guitar?,purple,brown,arbitration_dataset/images/color/color_0032_cf.png,arbitration_dataset/images/color/color_0032_std.png,visual_counterfact
color_0033,color,affenpinscher,What color is the affenpinscher?,purple,black,arbitration_dataset/images/color/color_0033_cf.png,arbitration_dataset/images/color/color_0033_std.png,visual_counterfact
color_0034,color,airliner,What color is the airliner?,brown,white,arbitration_dataset/images/color/color_0034_cf.png,arbitration_dataset/images/color/color_0034_std.png,visual_counterfact
color_0035,color,airplane,What color is the airplane?,brown,white,arbitration_dataset/images/color/color_0035_cf.png,arbitration_dataset/images/color/color_0035_std.png,visual_counterfact
color_0036,color,alligator,What color is the alligator?,pink,green,arbitration_dataset/images/color/color_0036_cf.png,arbitration_dataset/images/color/color_0036_std.png,visual_counterfact
color_0037,color,ambulance,What color is the ambulance?,green,white,arbitration_dataset/images/color/color_0037_cf.png,arbitration_dataset/images/color/color_0037_std.png,visual_counterfact
color_0038,color,american football,What color is the american football?,pink,brown,arbitration_dataset/images/color/color_0038_cf.png,arbitration_dataset/images/color/color_0038_std.png,visual_counterfact
color_0039,color,anemone fish,What color is the anemone fish?,purple,orange,arbitration_dataset/images/color/color_0039_cf.png,arbitration_dataset/images/color/color_0039_std.png,visual_counterfact
color_0040,color,ant,What color is the ant?,pink,black,arbitration_dataset/images/color/color_0040_cf.png,arbitration_dataset/images/color/color_0040_std.png,visual_counterfact
color_0041,color,apple,What color is the apple?,blue,red,arbitration_dataset/images/color/color_0041_cf.png,arbitration_dataset/images/color/color_0041_std.png,visual_counterfact
color_0042,color,armadillo,What color is the armadillo?,purple,grey,arbitration_dataset/images/color/color_0042_cf.png,arbitration_dataset/images/color/color_0042_std.png,visual_counterfact
color_0043,color,armour,What color is the armour?,purple,silver,arbitration_dataset/images/color/color_0043_cf.png,arbitration_dataset/images/color/color_0043_std.png,visual_counterfact
color_0044,color,artichoke,What color is the artichoke?,blue,green,arbitration_dataset/images/color/color_0044_cf.png,arbitration_dataset/images/color/color_0044_std.png,visual_counterfact
color_0045,color,asparagus,What color is the asparagus?,orange,green,arbitration_dataset/images/color/color_0045_cf.png,arbitration_dataset/images/color/color_0045_std.png,visual_counterfact
color_0046,color,avocado,What color is the avocado?,blue,green,arbitration_dataset/images/color/color_0046_cf.png,arbitration_dataset/images/color/color_0046_std.png,visual_counterfact
color_0047,color,axolotl,What color is the axolotl?,yellow,pink,arbitration_dataset/images/color/color_0047_cf.png,arbitration_dataset/images/color/color_0047_std.png,visual_counterfact
color_0048,color,bagel,What color is the bagel?,green,brown,arbitration_dataset/images/color/color_0048_cf.png,arbitration_dataset/images/color/color_0048_std.png,visual_counterfact
color_0049,color,ballpoint,What color is the ballpoint?,yellow,blue,arbitration_dataset/images/color/color_0049_cf.png,arbitration_dataset/images/color/color_0049_std.png,visual_counterfact
color_0050,color,banana,What color is the banana?,blue,yellow,arbitration_dataset/images/color/color_0050_cf.png,arbitration_dataset/images/color/color_0050_std.png,visual_counterfact
color_0051,color,barn,What color is the barn?,purple,red,arbitration_dataset/images/color/color_0051_cf.png,arbitration_dataset/images/color/color_0051_std.png,visual_counterfact
color_0052,color,barrel,What color is the barrel?,yellow,brown,arbitration_dataset/images/color/color_0052_cf.png,arbitration_dataset/images/color/color_0052_std.png,visual_counterfact
color_0053,color,baseball,What color is the baseball?,pink,white,arbitration_dataset/images/color/color_0053_cf.png,arbitration_dataset/images/color/color_0053_std.png,visual_counterfact
color_0054,color,basketball,What color is the basketball?,purple,orange,arbitration_dataset/images/color/color_0054_cf.png,arbitration_dataset/images/color/color_0054_std.png,visual_counterfact
color_0055,color,bassoon,What color is the bassoon?,purple,brown,arbitration_dataset/images/color/color_0055_cf.png,arbitration_dataset/images/color/color_0055_std.png,visual_counterfact
color_0056,color,bat_(animal),What color is the bat_(animal)?,pink,black,arbitration_dataset/images/color/color_0056_cf.png,arbitration_dataset/images/color/color_0056_std.png,visual_counterfact
color_0057,color,bath towel,What color is the bath towel?,orange,white,arbitration_dataset/images/color/color_0057_cf.png,arbitration_dataset/images/color/color_0057_std.png,visual_counterfact
color_0058,color,bathtub,What color is the bathtub?,green,white,arbitration_dataset/images/color/color_0058_cf.png,arbitration_dataset/images/color/color_0058_std.png,visual_counterfact
color_0059,color,beacon,What color is the beacon?,brown,red,arbitration_dataset/images/color/color_0059_cf.png,arbitration_dataset/images/color/color_0059_std.png,visual_counterfact
color_0060,color,beans,What color is the beans?,pink,green,arbitration_dataset/images/color/color_0060_cf.png,arbitration_dataset/images/color/color_0060_std.png,visual_counterfact
color_0061,color,bear,What color is the bear?,pink,black,arbitration_dataset/images/color/color_0061_cf.png,arbitration_dataset/images/color/color_0061_std.png,visual_counterfact
color_0062,color,bearskin,What color is the bearskin?,purple,black,arbitration_dataset/images/color/color_0062_cf.png,arbitration_dataset/images/color/color_0062_std.png,visual_counterfact
color_0063,color,beaver,What color is the beaver?,purple,brown,arbitration_dataset/images/color/color_0063_cf.png,arbitration_dataset/images/color/color_0063_std.png,visual_counterfact
color_0064,color,beehive,What color is the beehive?,red,yellow,arbitration_dataset/images/color/color_0064_cf.png,arbitration_dataset/images/color/color_0064_std.png,visual_counterfact
color_0065,color,beer bottle,What color is the beer bottle?,blue,brown,arbitration_dataset/images/color/color_0065_cf.png,arbitration_dataset/images/color/color_0065_std.png,visual_counterfact
color_0066,color,beetle,What color is the beetle?,pink,black,arbitration_dataset/images/color/color_0066_cf.png,arbitration_dataset/images/color/color_0066_std.png,visual_counterfact
color_0067,color,beets,What color is the beets?,yellow,red,arbitration_dataset/images/color/color_0067_cf.png,arbitration_dataset/images/color/color_0067_std.png,visual_counterfact
color_0068,color,bench,What color is the bench?,pink,brown,arbitration_dataset/images/color/color_0068_cf.png,arbitration_dataset/images/color/color_0068_std.png,visual_counterfact
color_0069,color,binoculars,What color is the binoculars?,red,black,arbitration_dataset/images/color/color_0069_cf.png,arbitration_dataset/images/color/color_0069_std.png,visual_counterfact
color_0070,color,birch,What color is the birch?,pink,white,arbitration_dataset/images/color/color_0070_cf.png,arbitration_dataset/images/color/color_0070_std.png,visual_counterfact
color_0071,color,bison,What color is the bison?,blue,brown,arbitration_dataset/images/color/color_0071_cf.png,arbitration_dataset/images/color/color_0071_std.png,visual_counterfact
color_0072,color,bittern,What color is the bittern?,purple,brown,arbitration_dataset/images/color/color_0072_cf.png,arbitration_dataset/images/color/color_0072_std.png,visual_counterfact
color_0073,color,black stork,What color is the black stork?,pink,black,arbitration_dataset/images/color/color_0073_cf.png,arbitration_dataset/images/color/color_0073_std.png,visual_counterfact
color_0074,color,black swan,What color is the black swan?,pink,black,arbitration_dataset/images/color/color_0074_cf.png,arbitration_dataset/images/color/color_0074_std.png,visual_counterfact
color_0075,color,black widow,What color is the black widow?,green,black,arbitration_dataset/images/color/color_0075_cf.png,arbitration_dataset/images/color/color_0075_std.png,visual_counterfact
color_0076,color,black-and-tan coonhound,What color is the black-and-tan coonhound?,yellow,black,arbitration_dataset/images/color/color_0076_cf.png,arbitration_dataset/images/color/color_0076_std.png,visual_counterfact
color_0077,color,blackbird,What color is the blackbird?,orange,black,arbitration_dataset/images/color/color_0077_cf.png,arbitration_dataset/images/color/color_0077_std.png,visual_counterfact
color_0078,color,blueberry,What color is the blueberry?,brown,blue,arbitration_dataset/images/color/color_0078_cf.png,arbitration_dataset/images/color/color_0078_std.png,visual_counterfact
color_0079,color,bluejay,What color is the bluejay?,orange,blue,arbitration_dataset/images/color/color_0079_cf.png,arbitration_dataset/images/color/color_0079_std.png,visual_counterfact
color_0080,color,board_(black),What color is the board_(black)?,pink,black,arbitration_dataset/images/color/color_0080_cf.png,arbitration_dataset/images/color/color_0080_std.png,visual_counterfact
color_0081,color,boat,What color is the boat?,green,white,arbitration_dataset/images/color/color_0081_cf.png,arbitration_dataset/images/color/color_0081_std.png,visual_counterfact
color_0082,color,bottle,What color is the bottle?,purple,green,arbitration_dataset/images/color/color_0082_cf.png,arbitration_dataset/images/color/color_0082_std.png,visual_counterfact
color_0083,color,bowl,What color is the bowl?,pink,white,arbitration_dataset/images/color/color_0083_cf.png,arbitration_dataset/images/color/color_0083_std.png,visual_counterfact
color_0084,color,box,What color is the box?,green,brown,arbitration_dataset/images/color/color_0084_cf.png,arbitration_dataset/images/color/color_0084_std.png,visual_counterfact
color_0085,color,bread,What color is the bread?,green,brown,arbitration_dataset/images/color/color_0085_cf.png,arbitration_dataset/images/color/color_0085_std.png,visual_counterfact
color_0086,color,brick,What color is the brick?,blue,red,arbitration_dataset/images/color/color_0086_cf.png,arbitration_dataset/images/color/color_0086_std.png,visual_counterfact
color_0087,color,broccoli,What color is the broccoli?,red,green,arbitration_dataset/images/color/color_0087_cf.png,arbitration_dataset/images/color/color_0087_std.png,visual_counterfact
color_0088,color,broom,What color is the broom?,pink,brown,arbitration_dataset/images/color/color_0088_cf.png,arbitration_dataset/images/color/color_0088_std.png,visual_counterfact
color_0089,color,buckeye,What color is the buckeye?,pink,brown,arbitration_dataset/images/color/color_0089_cf.png,arbitration_dataset/images/color/color_0089_std.png,visual_counterfact
color_0090,color,budgie,What color is the budgie?,purple,green,arbitration_dataset/images/color/color_0090_cf.png,arbitration_dataset/images/color/color_0090_std.png,visual_counterfact
color_0091,color,buffalo,What color is the buffalo?,green,brown,arbitration_dataset/images/color/color_0091_cf.png,arbitration_dataset/images/color/color_0091_std.png,visual_counterfact
color_0092,color,bullfrog,What color is the bullfrog?,red,green,arbitration_dataset/images/color/color_0092_cf.png,arbitration_dataset/images/color/color_0092_std.png,visual_counterfact
color_0093,color,bus,What color is the bus?,brown,yellow,arbitration_dataset/images/color/color_0093_cf.png,arbitration_dataset/images/color/color_0093_std.png,visual_counterfact
color_0094,color,butternut squash,What color is the butternut squash?,green,brown,arbitration_dataset/images/color/color_0094_cf.png,arbitration_dataset/images/color/color_0094_std.png,visual_counterfact
color_0095,color,buzzard,What color is the buzzard?,purple,black,arbitration_dataset/images/color/color_0095_cf.png,arbitration_dataset/images/color/color_0095_std.png,visual_counterfact
color_0096,color,cab,What color is the cab?,green,yellow,arbitration_dataset/images/color/color_0096_cf.png,arbitration_dataset/images/color/color_0096_std.png,visual_counterfact
color_0097,color,cabbage,What color is the cabbage?,pink,green,arbitration_dataset/images/color/color_0097_cf.png,arbitration_dataset/images/color/color_0097_std.png,visual_counterfact
color_0098,color,cabbage butterfly,What color is the cabbage butterfly?,red,white,arbitration_dataset/images/color/color_0098_cf.png,arbitration_dataset/images/color/color_0098_std.png,visual_counterfact
color_0099,color,cabin,What color is the cabin?,pink,brown,arbitration_dataset/images/color/color_0099_cf.png,arbitration_dataset/images/color/color_0099_std.png,visual_counterfact
color_0100,color,camel,What color is the camel?,red,brown,arbitration_dataset/images/color/color_0100_cf.png,arbitration_dataset/images/color/color_0100_std.png,visual_counterfact
color_0101,color,canary,What color is the canary?,green,yellow,arbitration_dataset/images/color/color_0101_cf.png,arbitration_dataset/images/color/color_0101_std.png,visual_counterfact
color_0102,color,candle,What color is the candle?,purple,white,arbitration_dataset/images/color/color_0102_cf.png,arbitration_dataset/images/color/color_0102_std.png,visual_counterfact
color_0103,color,cannon,What color is the cannon?,purple,black,arbitration_dataset/images/color/color_0103_cf.png,arbitration_dataset/images/color/color_0103_std.png,visual_counterfact
color_0104,color,cantaloupe,What color is the cantaloupe?,pink,orange,arbitration_dataset/images/color/color_0104_cf.png,arbitration_dataset/images/color/color_0104_std.png,visual_counterfact
color_0105,color,car wheel,What color is the car wheel?,brown,silver,arbitration_dataset/images/color/color_0105_cf.png,arbitration_dataset/images/color/color_0105_std.png,visual_counterfact
color_0106,color,carbonara,What color is the carbonara?,green,yellow,arbitration_dataset/images/color/color_0106_cf.png,arbitration_dataset/images/color/color_0106_std.png,visual_counterfact
color_0107,color,carrot,What color is the carrot?,green,orange,arbitration_dataset/images/color/color_0107_cf.png,arbitration_dataset/images/color/color_0107_std.png,visual_counterfact
color_0108,color,cassette player,What color is the cassette player?,purple,black,arbitration_dataset/images/color/color_0108_cf.png,arbitration_dataset/images/color/color_0108_std.png,visual_counterfact
color_0109,color,catamaran,What color is the catamaran?,brown,white,arbitration_dataset/images/color/color_0109_cf.png,arbitration_dataset/images/color/color_0109_std.png,visual_counterfact
color_0110,color,caterpillar,What color is the caterpillar?,purple,green,arbitration_dataset/images/color/color_0110_cf.png,arbitration_dataset/images/color/color_0110_std.png,visual_counterfact
color_0111,color,celery,What color is the celery?,brown,green,arbitration_dataset/images/color/color_0111_cf.png,arbitration_dataset/images/color/color_0111_std.png,visual_counterfact
color_0112,color,cello,What color is the cello?,purple,brown,arbitration_dataset/images/color/color_0112_cf.png,arbitration_dataset/images/color/color_0112_std.png,visual_counterfact
color_0113,color,chain,What color is the chain?,purple,silver,arbitration_dataset/images/color/color_0113_cf.png,arbitration_dataset/images/color/color_0113_std.png,visual_counterfact
color_0114,color,chain mail,What color is the chain mail?,purple,silver,arbitration_dataset/images/color/color_0114_cf.png,arbitration_dataset/images/color/color_0114_std.png,visual_counterfact
color_0115,color,chainlink fence,What color is the chainlink fence?,purple,silver,arbitration_dataset/images/color/color_0115_cf.png,arbitration_dataset/images/color/color_0115_std.png,visual_counterfact
color_0116,color,cheese,What color is the cheese?,green,orange,arbitration_dataset/images/color/color_0116_cf.png,arbitration_dataset/images/color/color_0116_std.png,visual_counterfact
color_0117,color,cheeseburger,What color is the cheeseburger?,green,brown,arbitration_dataset/images/color/color_0117_cf.png,arbitration_dataset/images/color/color_0117_std.png,visual_counterfact
color_0118,color,cheetah,What color is the cheetah?,blue,yellow,arbitration_dataset/images/color/color_0118_cf.png,arbitration_dataset/images/color/color_0118_std.png,visual_counterfact
color_0119,color,cherry,What color is the cherry?,blue,red,arbitration_dataset/images/color/color_0119_cf.png,arbitration_dataset/images/color/color_0119_std.png,visual_counterfact
color_0120,color,chickadee,What color is the chickadee?,green,yellow,arbitration_dataset/images/color/color_0120_cf.png,arbitration_dataset/images/color/color_0120_std.png,visual_counterfact
color_0121,color,chimpanzee,What color is the chimpanzee?,orange,black,arbitration_dataset/images/color/color_0121_cf.png,arbitration_dataset/images/color/color_0121_std.png,visual_counterfact
color_0122,color,chinese_lantern,What color is the chinese_lantern?,blue,red,arbitration_dataset/images/color/color_0122_cf.png,arbitration_dataset/images/color/color_0122_std.png,visual_counterfact
color_0123,color,chipmunk,What color is the chipmunk?,purple,brown,arbitration_dataset/images/color/color_0123_cf.png,arbitration_dataset/images/color/color_0123_std.png,visual_counterfact
color_0124,color,chocolate sauce,What color is the chocolate sauce?,purple,brown,arbitration_dataset/images/color/color_0124_cf.png,arbitration_dataset/images/color/color_0124_std.png,visual_counterfact
color_0125,color,cigar,What color is the cigar?,pink,brown,arbitration_dataset/images/color/color_0125_cf.png,arbitration_dataset/images/color/color_0125_std.png,visual_counterfact
color_0126,color,cigarette,What color is the cigarette?,purple,white,arbitration_dataset/images/color/color_0126_cf.png,arbitration_dataset/images/color/color_0126_std.png,visual_counterfact
color_0127,color,clarinet,What color is the clarinet?,pink,black,arbitration_dataset/images/color/color_0127_cf.png,arbitration_dataset/images/color/color_0127_std.png,visual_counterfact
color_0128,color,cleaver,What color is the cleaver?,green,silver,arbitration_dataset/images/color/color_0128_cf.png,arbitration_dataset/images/color/color_0128_std.png,visual_counterfact
color_0129,color,closet,What color is the closet?,yellow,white,arbitration_dataset/images/color/color_0129_cf.png,arbitration_dataset/images/color/color_0129_std.png,visual_counterfact
color_0130,color,cloud,What color is the cloud?,yellow,white,arbitration_dataset/images/color/color_0130_cf.png,arbitration_dataset/images/color/color_0130_std.png,visual_counterfact
color_0131,color,cockroach,What color is the cockroach?,green,brown,arbitration_dataset/images/color/color_0131_cf.png,arbitration_dataset/images/color/color_0131_std.png,visual_counterfact
color_0132,color,cocktail shaker,What color is the cocktail shaker?,green,silver,arbitration_dataset/images/color/color_0132_cf.png,arbitration_dataset/images/color/color_0132_std.png,visual_counterfact
color_0133,color,coconut,What color is the coconut?,pink,brown,arbitration_dataset/images/color/color_0133_cf.png,arbitration_dataset/images/color/color_0133_std.png,visual_counterfact
color_0134,color,coho,What color is the coho?,purple,silver,arbitration_dataset/images/color/color_0134_cf.png,arbitration_dataset/images/color/color_0134_std.png,visual_counterfact
color_0135,color,coin,What color is the coin?,orange,silver,arbitration_dataset/images/color/color_0135_cf.png,arbitration_dataset/images/color/color_0135_std.png,visual_counterfact
color_0136,color,colobus,What color is the colobus?,yellow,black,arbitration_dataset/images/color/color_0136_cf.png,arbitration_dataset/images/color/color_0136_std.png,visual_counterfact
color_0137,color,combination lock,What color is the combination lock?,pink,black,arbitration_dataset/images/color/color_0137_cf.png,arbitration_dataset/images/color/color_0137_std.png,visual_counterfact
color_0138,color,computer keyboard,What color is the computer keyboard?,pink,black,arbitration_dataset/images/color/color_0138_cf.png,arbitration_dataset/images/color/color_0138_std.png,visual_counterfact
color_0139,color,conch,What color is the conch?,yellow,pink,arbitration_dataset/images/color/color_0139_cf.png,arbitration_dataset/images/color/color_0139_std.png,visual_counterfact
color_0140,color,cork,What color is the cork?,pink,brown,arbitration_dataset/images/color/color_0140_cf.png,arbitration_dataset/images/color/color_0140_std.png,visual_counterfact
color_0141,color,corn,What color is the corn?,blue,yellow,arbitration_dataset/images/color/color_0141_cf.png,arbitration_dataset/images/color/color_0141_std.png,visual_counterfact
color_0142,color,cougar,What color is the cougar?,purple,brown,arbitration_dataset/images/color/color_0142_cf.png,arbitration_dataset/images/color/color_0142_std.png,visual_counterfact
color_0143,color,cow,What color is the cow?,blue,white,arbitration_dataset/images/color/color_0143_cf.png,arbitration_dataset/images/color/color_0143_std.png,visual_counterfact
color_0144,color,cowboy boot,What color is the cowboy boot?,red,brown,arbitration_dataset/images/color/color_0144_cf.png,arbitration_dataset/images/color/color_0144_std.png,visual_counterfact
color_0145,color,crab,What color is the crab?,yellow,red,arbitration_dataset/images/color/color_0145_cf.png,arbitration_dataset/images/color/color_0145_std.png,visual_counterfact
color_0146,color,cranberry,What color is the cranberry?,brown,red,arbitration_dataset/images/color/color_0146_cf.png,arbitration_dataset/images/color/color_0146_std.png,visual_counterfact
color_0147,color,crane_(machine),What color is the crane_(machine)?,red,yellow,arbitration_dataset/images/color/color_0147_cf.png,arbitration_dataset/images/color/color_0147_std.png,visual_counterfact
color_0148,color,crocodile,What color is the crocodile?,blue,green,arbitration_dataset/images/color/color_0148_cf.png,arbitration_dataset/images/color/color_0148_std.png,visual_counterfact
color_0149,color,crow,What color is the crow?,yellow,black,arbitration_dataset/images/color/color_0149_cf.png,arbitration_dataset/images/color/color_0149_std.png,visual_counterfact
color_0150,color,crown,What color is the crown?,green,gold,arbitration_dataset/images/color/color_0150_cf.png,arbitration_dataset/images/color/color_0150_std.png,visual_counterfact
color_0151,color,cucumber,What color is the cucumber?,purple,green,arbitration_dataset/images/color/color_0151_cf.png,arbitration_dataset/images/color/color_0151_std.png,visual_counterfact
color_0152,color,curly-coated retriever,What color is the curly-coated retriever?,blue,black,arbitration_dataset/images/color/color_0152_cf.png,arbitration_dataset/images/color/color_0152_std.png,visual_counterfact
color_0153,color,daisy,What color is the daisy?,blue,white,arbitration_dataset/images/color/color_0153_cf.png,arbitration_dataset/images/color/color_0153_std.png,visual_counterfact
color_0154,color,dalmatian,What color is the dalmatian?,green,white,arbitration_dataset/images/color/color_0154_cf.png,arbitration_dataset/images/color/color_0154_std.png,visual_counterfact
color_0155,color,dandelion,What color is the dandelion?,purple,yellow,arbitration_dataset/images/color/color_0155_cf.png,arbitration_dataset/images/color/color_0155_std.png,visual_counterfact
color_0156,color,deer,What color is the deer?,pink,brown,arbitration_dataset/images/color/color_0156_cf.png,arbitration_dataset/images/color/color_0156_std.png,visual_counterfact
color_0157,color,dial telephone,What color is the dial telephone?,pink,black,arbitration_dataset/images/color/color_0157_cf.png,arbitration_dataset/images/color/color_0157_std.png,visual_counterfact
color_0158,color,digital watch,What color is the digital watch?,pink,black,arbitration_dataset/images/color/color_0158_cf.png,arbitration_dataset/images/color/color_0158_std.png,visual_counterfact
color_0159,color,dingo,What color is the dingo?,blue,brown,arbitration_dataset/images/color/color_0159_cf.png,arbitration_dataset/images/color/color_0159_std.png,visual_counterfact
color_0160,color,dishwasher,What color is the dishwasher?,purple,white,arbitration_dataset/images/color/color_0160_cf.png,arbitration_dataset/images/color/color_0160_std.png,visual_counterfact
color_0161,color,dolphin,What color is the dolphin?,yellow,grey,arbitration_dataset/images/color/color_0161_cf.png,arbitration_dataset/images/color/color_0161_std.png,visual_counterfact
color_0162,color,donkey,What color is the donkey?,pink,grey,arbitration_dataset/images/color/color_0162_cf.png,arbitration_dataset/images/color/color_0162_std.png,visual_counterfact
color_0163,color,dove,What color is the dove?,green,white,arbitration_dataset/images/color/color_0163_cf.png,arbitration_dataset/images/color/color_0163_std.png,visual_counterfact
